c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62
A1292,20,0,1,0,165,50,0,1,2,7,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,2,4,0,2,0,1,0,2,0,0,1,1,1,20,0,0,1,1,1,1
A1293,18,0,1,0,160,50,0,1,2,8,1,1,1,0,0,0,99,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,4,6,1,2,0,1,0,1,0,0,1,1,1,0,0,0,1,3,1,0
A1294,19,0,1,0,163,48,1,1,0,7,0,0,0,0,0,1,99,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,2,8,1,3,0,1,0,2,0,0,1,1,1,1,0,1,1,1,1,1
A1295,19,1,1,0,185,80,0,1,0,7,0,1,0,0,0,99,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,5,7,0,1,0,0,1,2,0,0,0,1,1,0,0,0,1,1,1,0
A1296,19,1,1,0,152,70,0,1,0,6,0,0,0,0,0,99,99,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,2,2,1,1,0,1,1,2,0,0,1,1,1,4,1,0,1,3,1,1
A1297,21,0,1,0,150,43,1,0,0,9,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,4,5,1,2,0,1,1,2,0,0,0,1,1,2,0,1,1,3,1,0
A1298,20,1,1,0,170,65,0,0,0,8,0,1,1,0,0,99,99,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,3,6,0,1,0,1,0,2,1,1,1,0,0,0,0,1,1,1,1,0
A1299,19,1,1,0,156,53,0,0,2,9,1,1,1,1,1,99,99,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,12,3,0,3,0,0,1,5,1,1,1,1,1,0,0,0,0,1,1,1
A1300,19,0,1,0,162,50,0,1,2,7,1,1,1,0,0,1,99,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,2,3,1,2,0,0,1,3,0,1,1,1,0,0,0,0,0,2,1,0
A1301,21,0,1,0,158,57,1,1,2,9,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,4,1,2,0,1,0,2,0,0,1,0,0,0,0,1,0,2,1,1
A1302,19,0,1,0,167,68,0,0,2,7,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,6,7,1,2,0,1,0,3,0,0,1,0,0,1,0,0,1,2,1,0
A1303,18,0,1,0,152,42,0,1,2,8,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,2,5,1,1,0,1,1,2,0,0,1,0,0,0,0,1,1,3,1,0
A1304,20,0,1,0,152,50,0,0,2,8,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,4,10,1,1,0,0,0,2,0,0,1,1,1,2,0,1,1,1,1,1
A1305,20,1,1,0,156,59,0,0,0,9,0,1,0,0,0,99,99,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,6,1,1,0,1,1,3,0,1,1,1,0,1,0,1,0,3,1,1
